Gene,Start
WBGene00006595,1
WBGene00002363,1
WBGene00002335,1
WBGene00006596,1
WBGene00002299,1
WBGene00006615,1
WBGene00006631,1
WBGene00006662,1
WBGene00002266,1
WBGene00002264,1
WBGene00006691,1
WBGene00004931,1
WBGene00303364,1
WBGene00010320,1
WBGene00020558,1
WBGene00020389,1
WBGene00020398,1
WBGene00020420,1
WBGene00020421,1
WBGene00020424,1
WBGene00020456,1
WBGene00020471,1
WBGene00020474,1
WBGene00020503,1
WBGene00020527,1
WBGene00020544,1
WBGene00020555,1
WBGene00020666,1
WBGene00020317,1
WBGene00020667,1
WBGene00020672,1
WBGene00020684,1
WBGene00020696,1
WBGene00020703,1
WBGene00020732,1
WBGene00020762,1
WBGene00020792,1
WBGene00020795,1
WBGene00020834,1
WBGene00020839,1
WBGene00020842,1
WBGene00020348,1
WBGene00020299,1
